"group","expression","description"
"Funciones y variables","diff(h(x), x)","Derivación de la función declarada: reutiliza la definición"
"Verificación y equivalencia","diff(integrate(2*x/sqrt(4+x^4)+1, x), x) - (2*x/sqrt(4+x^4)+1)","Verificación por derivada de una integral → 0"
"Verificación y equivalencia","equiv(diff(integrate(2*x/sqrt(4+x^4)+1, x), x), 2*x/sqrt(4+x^4)+1)","Equivalencia entre derivada de integral e integrando → true"
"Verificación y equivalencia","equiv(sin(x+y), sin(x)*cos(y) + cos(x)*sin(y))","Comprobar la fórmula del seno de una suma → true"
"Verificación y equivalencia","equiv(cos(2*x), 1-2*sin(x)^2)","Verificar la identidad del ángulo doble del coseno → true"
"Verificación y equivalencia","equiv((x^3+y^3)/(x+y), x^2-x*y+y^2)","Comprobar la factorización de una suma de cubos → true"
"Verificación y equivalencia","derive (x - 1)*(x^5 + x^4 + x^3 + x^2 + x + 1), x^6 - 1","Mostrar los pasos que transforman una expresión en otra equivalente"
"Verificación y equivalencia","diff(integrate(x*e^x, x), x) - x*e^x","Ida y vuelta integral-derivada de x·eˣ → 0"
"Verificación y equivalencia","equiv(log(x*y), log(x)+log(y))","Verificar la propiedad del logaritmo de un producto → true"
"Verificación y equivalencia","integrate(diff(x^3, x), x) - x^3","Ida y vuelta derivada-integral de x³ → 0"
"Verificación y equivalencia","equiv(tan(x), sin(x)/cos(x))","Verificar la definición de la tangente → true"
"Verificación y equivalencia","diff(integrate(1/(x^3-2), x), x) - 1/(x^3-2)","Ida y vuelta sobre ℚ(∛2): la derivada de la antiderivada colapsa exactamente a 0"
"Vectorial","gradient(x^2*y, [x,y])","Gradiente de un campo escalar: ∇f = [∂f/∂x, ∂f/∂y] como vector columna — [[2·x·y], [x²]]; alias grad(...)"
"Vectorial","diff([x^2, sin(x)], x)","Derivada componente a componente de un vector de funciones → [[2·x], [cos(x)]]"
"Vectorial","dot(gradient(x^2*y,[x,y]), [1,0])","Derivada direccional por composición: ∇f·u con u=[1,0] → 2·x·y"
"Vectorial","jacobian([x^2*y, x+y], [x,y])","Jacobiano de un campo vectorial: filas = funciones, columnas = variables — [[2·x·y, x²], [1, 1]]"
"Vectorial","det(hessian(x^2*y, [x,y]))","Discriminante del test de la segunda derivada: det(H) del hessiano simétrico → -4·x²"
"Vectorial","divergence([x^2, y^2], [x,y])","Divergencia de un campo vectorial: ∇·F = Σ ∂Fᵢ/∂xᵢ → 2·x + 2·y"
"Vectorial","laplacian(ln(x^2+y^2), [x,y])","La armónica clásica: Δ ln(x²+y²) = 0 exacto (suma de segundas derivadas)"
"Vectorial","curl([y,-x,0], [x,y,z])","Rotacional del campo de rotación clásico → [[0], [0], [-2]] (columna 3×1; en 2D el rotacional es ESCALAR)"
"Vectorial","curl(gradient(x*y*z,[x,y,z]), [x,y,z])","Test de conservatividad: todo campo gradiente es irrotacional — ∇×(∇f) = [[0], [0], [0]]"
"Vectorial","integrate([cos(x), e^x], x)","Antiderivada componente a componente de un vector de funciones → [[sin(x)], [eˣ]] (todo-o-nada: un componente no elemental declina entero)"
"Vectorial","abs([3,4])","El módulo de un vector es su norma euclídea → 5 (en dominio complejo, |v| usa |·|² por componente)"
"Complejo","(3+4i)/(1-2i)","División por el conjugado → -1 + 2·i, en orden cartesiano a+bi (requiere selector Complejo)"
"Complejo","(1+i)^2","Potencia entera gaussiana exacta → 2·i (requiere selector Complejo)"
"Complejo","(2+i)^4","Potencias por cuadrados repetidos sobre ℚ[i] → -7 + 24·i (requiere selector Complejo)"
"Complejo","(1+i)^(-1)","El recíproco complejo en forma cartesiana limpia → 1/2 - 1/2·i (requiere selector Complejo)"
"Complejo","abs(3+4i)","Módulo del gaussiano: |3+4i| = √(9+16) → 5 (requiere selector Complejo)"
"Complejo","conjugate(3+4i)","Conjugado complejo → 3 - 4·i; hermanos: Re(3+4i) → 3, Im(3+4i) → 4 (requiere selector Complejo)"
"Complejo","solve(x^2+1, x)","La ecuación sin solución real POR FIN resuelta en ℂ → { i, -i } (requiere selector Complejo)"
"Complejo","solve(x^3-1, x)","Raíces cúbicas de la unidad: la real y el par conjugado (-1 ± i·√3)/2 (requiere selector Complejo)"
"Complejo","e^(i*pi)","La identidad de Euler → -1, plegada EXACTA (no numérica) (requiere selector Complejo)"
"Complejo","exp(i*x)","Fórmula de Euler simbólica → cos(x) + i·sin(x) (requiere selector Complejo)"
"Complejo","ln(-1)","Logaritmo principal del negativo → π·i, con su condición de rama principal (requiere selector Complejo)"
"Complejo","arg(1+i)","Argumento principal exacto vía tabla atan2 → π/4 (requiere selector Complejo)"
"Complejo","i^i","La potencia famosa: i^i es REAL → e^(-π/2) (requiere selector Complejo)"
"Complejo","sqrt(3+4i)","Raíz cuadrada gaussiana exacta → 2 + i, rama principal (requiere selector Complejo)"
"Complejo","abs(e^(2*i))","Unimodularidad: |e^(iθ)| = 1 para θ real — con θ simbólico declina honesto, porque x podría ser compleja (requiere selector Complejo)"
"Complejo","sin(i)","El puente trig↔hiperbólico: sin(i·y) = i·senh(y) → i·sinh(1); gemelo: cosh(i·π) → -1 (requiere selector Complejo)"
"Complejo","approx(ln(i))","La superficie numérica compleja → 1.57079632679·i (= i·π/2) (requiere selector Complejo)"
"Complejo","equiv(e^(i*pi), -1)","Verificación EXACTA de la identidad de Euler → true (jamás confirmada solo por probe numérico) (requiere selector Complejo)"
"Vectorial","hessian(x^2*y, [x,y])","Matriz hessiana simétrica de segundas derivadas → [[2·y, 2·x], [2·x, 0]]"
"Vectorial","curl([y,-x], [x,y])","Rotacional 2D: convención ESCALAR ∂Q/∂x − ∂P/∂y → -2 (jamás rellenado a 3D)"
"Vectorial","diff([x^2, x^3], x, 2)","Derivada segunda componente a componente de un vector → [[2], [6·x]]"
"Vectorial","subs(subs(diff(x^2*y,x), x, 1), y, 2)","Evaluación en punto SIN trampa de orden: subs deriva primero y liga después — ∂f/∂x en (1,2) → 4"
"Vectorial","subs(subs(det(hessian(x^3+y^3-3*x*y,[x,y])), x, 1), y, 1)","Clasificación de puntos críticos one-shot: det(H) en (1,1) → 27 > 0 (mínimo local)"
"Vectorial","solve([diff(x^2+y^2-2*x-4*y, x)=0, diff(x^2+y^2-2*x-4*y, y)=0], [x,y])","Puntos críticos one-shot: resolver ∇f = 0 como sistema → { x = 1, y = 2 }"
"Analítico","taylor(sin(x)/x, x, 0, 4)","Serie de Maclaurin con singularidad evitable: 1 − x²/6 + x⁴/120 (cancelación de la potencia común)"
"Analítico","taylor(e^(x+y), [x,y], [0,0], 2)","Taylor multivariable por grado total: 1 + x + y + x²/2 + x·y + y²/2 (sin términos de grado 4)"
"Analítico","lineintegral([-y,x], [x,y], [cos(t),sin(t)], t, 0, 2*pi)","Circulación ∮F·dr sobre la circunferencia unidad → 2π"
"Analítico","lineintegral(x^2, [x,y], [cos(t),sin(t)], t, 0, pi)","Integral de línea escalar ∫f·ds vía ‖r′(t)‖ → π/2"
"Analítico","integrate([cos(t),sin(t)], t, 0, pi)","Integral definida componente a componente sobre un vector → [[0],[2]]"
