expression,expected_result,actual_result,ok,wrapper,pair_id,family,source,target,expected_strategy,error_kind,error_message
((a*x^2 - b*x + c) + m) - ((a*(x - b/(2*a))^2 + c - b^2/(4*a)) + m),0,(4 * a^2 * x^2 + b^2) / (4 * a) - a * (x - b / (2 * a))^2 - b * x,false,additive_passthrough_zero,solve_prep_complete_square_symbolic_negative_linear_coeff,solve_prep,a*x^2 - b*x + c,a*(x - b/(2*a))^2 + c - b^2/(4*a),solve prep,result_mismatch,
k*(a*x^2 - b*x + c) - k*(a*(x - b/(2*a))^2 + c - b^2/(4*a)),0,(4 * k * a^2 * x^2 + k * b^2) / (4 * a) - a * k * (x - b / (2 * a))^2 - b * k * x,false,scaled_difference_zero,solve_prep_complete_square_symbolic_negative_linear_coeff,solve_prep,a*x^2 - b*x + c,a*(x - b/(2*a))^2 + c - b^2/(4*a),solve prep,result_mismatch,
((a*x^2 - b*x + c)/q) - ((a*(x - b/(2*a))^2 + c - b^2/(4*a))/q),0,(4 * a^2 * x^2 + b^2 - 4 * a^2 * (x - b / (2 * a))^2 - 4 * a * b * x) / (4 * a * q),false,common_denominator_zero,solve_prep_complete_square_symbolic_negative_linear_coeff,solve_prep,a*x^2 - b*x + c,a*(x - b/(2*a))^2 + c - b^2/(4*a),solve prep,result_mismatch,
((a*x^2 - b*x + c) + 1)/((a*(x - b/(2*a))^2 + c - b^2/(4*a)) + 1),1,(a * x^2 + c + 1 - b * x) / (a * (x - b / (2 * a))^2 + c + 1 - b^2 / (4 * a)),false,shifted_quotient_one,solve_prep_complete_square_symbolic_negative_linear_coeff,solve_prep,a*x^2 - b*x + c,a*(x - b/(2*a))^2 + c - b^2/(4*a),solve prep,result_mismatch,
((-a*x^2 + b*x + c) + m) - ((-a*(x - b/(2*a))^2 + c + b^2/(4*a)) + m),0,(4 * a^2 * (x - b / (2 * a))^2 + 4 * a * b * x - 4 * a^2 * x^2 - b^2) / (4 * a),false,additive_passthrough_zero,solve_prep_complete_square_negative_symbolic_leading_coeff,solve_prep,-a*x^2 + b*x + c,-a*(x - b/(2*a))^2 + c + b^2/(4*a),solve prep,result_mismatch,
k*(-a*x^2 + b*x + c) - k*(-a*(x - b/(2*a))^2 + c + b^2/(4*a)),0,a * k * (x - b / (2 * a))^2 + b * k * x + c * k - (4 * a * c * k + k * b^2) / (4 * a) - a * k * x^2,false,scaled_difference_zero,solve_prep_complete_square_negative_symbolic_leading_coeff,solve_prep,-a*x^2 + b*x + c,-a*(x - b/(2*a))^2 + c + b^2/(4*a),solve prep,result_mismatch,
((-a*x^2 + b*x + c)/q) - ((-a*(x - b/(2*a))^2 + c + b^2/(4*a))/q),0,(b * x + c - a * x^2) / q - (b^2 + 4 * a * c - 4 * a^2 * (x - b / (2 * a))^2) / (4 * a * q),false,common_denominator_zero,solve_prep_complete_square_negative_symbolic_leading_coeff,solve_prep,-a*x^2 + b*x + c,-a*(x - b/(2*a))^2 + c + b^2/(4*a),solve prep,result_mismatch,
((-a*x^2 + b*x + c) + 1)/((-a*(x - b/(2*a))^2 + c + b^2/(4*a)) + 1),1,(4 * a * b * x + 4 * a * c + 4 * a - 4 * a^2 * x^2) / (b^2 + 4 * a * c + 4 * a - 4 * a^2 * (x - b / (2 * a))^2),false,shifted_quotient_one,solve_prep_complete_square_negative_symbolic_leading_coeff,solve_prep,-a*x^2 + b*x + c,-a*(x - b/(2*a))^2 + c + b^2/(4*a),solve prep,result_mismatch,
(((a/2)*x^2 + b*x + c)/q) - (((a/2)*(x + b/a)^2 + c - b^2/(2*a))/q),0,(a * x^2 + 2 * b * x + 2 * c) / (2 * q) - (a^2 * (b / a + x)^2 + 2 * a * c - b^2) / (2 * a * q),false,common_denominator_zero,solve_prep_complete_square_fractional_symbolic_leading_coeff,solve_prep,(a/2)*x^2 + b*x + c,(a/2)*(x + b/a)^2 + c - b^2/(2*a),solve prep,result_mismatch,
(((a/2)*x^2 + b*x + c) + 1)/(((a/2)*(x + b/a)^2 + c - b^2/(2*a)) + 1),1,a * (a * x^2 + 2 * b * x + 2 * c + 2) / (a^2 * (b / a + x)^2 + 2 * a * c + 2 * a - b^2),false,shifted_quotient_one,solve_prep_complete_square_fractional_symbolic_leading_coeff,solve_prep,(a/2)*x^2 + b*x + c,(a/2)*(x + b/a)^2 + c - b^2/(2*a),solve prep,result_mismatch,
(((a + b + c)^2) + 1)/((a^2 + b^2 + c^2 + 2*a*b + 2*a*c + 2*b*c) + 1),1,(a^2 + b^2 + c^2 + 2 * a * b + 2 * a * c + 2 * b * c + 1) / (a^2 + b^2 + c^2 + 2 * a * b + 2 * a * c + 2 * b * c + 1),false,shifted_quotient_one,expand_symbolic_trinomial_square,expand,(a + b + c)^2,a^2 + b^2 + c^2 + 2*a*b + 2*a*c + 2*b*c,expand,result_mismatch,
(((a - b + c)^2) + 1)/((a^2 + b^2 + c^2 - 2*a*b + 2*a*c - 2*b*c) + 1),1,(a^2 + b^2 + c^2 - 2 * a * b - 2 * b * c + 2 * a * c + 1) / (a^2 + b^2 + c^2 + 2 * a * c + 1 - 2 * a * b - 2 * b * c),false,shifted_quotient_one,expand_symbolic_signed_trinomial_square,expand,(a - b + c)^2,a^2 + b^2 + c^2 - 2*a*b + 2*a*c - 2*b*c,expand,result_mismatch,
(((a + b + c)^3) + 1)/((a^3 + b^3 + c^3 + 3*a^2*b + 3*a^2*c + 3*a*b^2 + 6*a*b*c + 3*a*c^2 + 3*b^2*c + 3*b*c^2) + 1),1,(a^3 + b^3 + c^3 + 3 * a * b^2 + 3 * a * c^2 + 3 * b * a^2 + 3 * b * c^2 + 3 * c * a^2 + 3 * c * b^2 + 6 * a * b * c + 1) / (a^3 + b^3 + c^3 + 3 * a * b^2 + 3 * a * c^2 + 3 * b * a^2 + 3 * b * c^2 + 3 * c * a^2 + 3 * c * b^2 + 6 * a * b * c + 1),false,shifted_quotient_one,expand_symbolic_trinomial_cube,expand,(a + b + c)^3,a^3 + b^3 + c^3 + 3*a^2*b + 3*a^2*c + 3*a*b^2 + 6*a*b*c + 3*a*c^2 + 3*b^2*c + 3*b*c^2,expand,result_mismatch,
((sinh(x+y)) + 1)/((sinh(x)*cosh(y) + cosh(x)*sinh(y)) + 1),1,(sinh(x + y) + 1) / (sinh(x) * cosh(y) + sinh(y) * cosh(x) + 1),false,shifted_quotient_one,expand_hyperbolic_sinh_sum,expand,sinh(x+y),sinh(x)*cosh(y) + cosh(x)*sinh(y),expand,result_mismatch,
((cosh(x+y)) + 1)/((cosh(x)*cosh(y) + sinh(x)*sinh(y)) + 1),1,(cosh(x + y) + 1) / (sinh(x) * sinh(y) + cosh(x) * cosh(y) + 1),false,shifted_quotient_one,expand_hyperbolic_cosh_sum,expand,cosh(x+y),cosh(x)*cosh(y) + sinh(x)*sinh(y),expand,result_mismatch,
((sinh(x-y)) + 1)/((sinh(x)*cosh(y) - cosh(x)*sinh(y)) + 1),1,(1 - sinh(y - x)) / (sinh(x) * cosh(y) + 1 - sinh(y) * cosh(x)),false,shifted_quotient_one,expand_hyperbolic_sinh_difference,expand,sinh(x-y),sinh(x)*cosh(y) - cosh(x)*sinh(y),expand,result_mismatch,
((cosh(x-y)) + 1)/((cosh(x)*cosh(y) - sinh(x)*sinh(y)) + 1),1,(cosh(y - x) + 1) / (cosh(x) * cosh(y) + 1 - sinh(x) * sinh(y)),false,shifted_quotient_one,expand_hyperbolic_cosh_difference,expand,cosh(x-y),cosh(x)*cosh(y) - sinh(x)*sinh(y),expand,result_mismatch,
k*(ln((x^2*y)/(z*t))) - k*(2*ln(abs(x)) + ln(y) - ln(z) - ln(t)),0,k * ln(y * x^2 / (t * z)) - k * ln(y / (t * z)) - 2 * k * ln(|x|),false,scaled_difference_zero,expand_log_powered_two_denominator_factors,log_expand,ln((x^2*y)/(z*t)),2*ln(abs(x)) + ln(y) - ln(z) - ln(t),expand_log,result_mismatch,
((ln((x^2*y)/(z*t))) + 1)/((2*ln(abs(x)) + ln(y) - ln(z) - ln(t)) + 1),1,(ln(y * x^2 / (t * z)) + 1) / (ln(y / (t * z)) + 2 * ln(|x|) + 1),false,shifted_quotient_one,expand_log_powered_two_denominator_factors,log_expand,ln((x^2*y)/(z*t)),2*ln(abs(x)) + ln(y) - ln(z) - ln(t),expand_log,result_mismatch,
"k*(log(b, (x^2*y^3)/(z^2*t))) - k*(2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t))",0,"k * log(b, x^2 * y^3 / (t * z^2)) - k * (2 * log(b, x) + 3 * log(b, y) - log(b, t) - 2 * log(b, z))",false,scaled_difference_zero,expand_log_general_base_powered_two_denominator_factors_with_powered_denominator,log_expand,"log(b, (x^2*y^3)/(z^2*t))","2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t)",expand_log,result_mismatch,
"((log(b, (x^2*y^3)/(z^2*t)))/q) - ((2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t))/q)",0,"(log(b, x^2 * y^3 / z^2) + 2 * log(b, z) - 3 * log(b, y) - 2 * log(b, x)) / q",false,common_denominator_zero,expand_log_general_base_powered_two_denominator_factors_with_powered_denominator,log_expand,"log(b, (x^2*y^3)/(z^2*t))","2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t)",expand_log,result_mismatch,
"((log(b, (x^2*y^3)/(z^2*t))) + 1)/((2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t)) + 1)",1,"(log(b, x^2 * y^3 / (t * z^2)) + 1) / (2 * log(b, x) + 3 * log(b, y) + 1 - log(b, t) - 2 * log(b, z))",false,shifted_quotient_one,expand_log_general_base_powered_two_denominator_factors_with_powered_denominator,log_expand,"log(b, (x^2*y^3)/(z^2*t))","2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t)",expand_log,result_mismatch,
k*(ln((x*y)^2)) - k*(ln(x^2)+ln(y^2)),0,2 * k * ln(|x * y|) - 2 * k * ln(|x|) - 2 * k * ln(|y|),false,scaled_difference_zero,expand_log_grouped_power,log_expand,ln((x*y)^2),ln(x^2)+ln(y^2),expand_log,result_mismatch,
((ln((x*y)^2)) + 1)/((ln(x^2)+ln(y^2)) + 1),1,(2 * ln(|x * y|) + 1) / (2 * ln(|x|) + 2 * ln(|y|) + 1),false,shifted_quotient_one,expand_log_grouped_power,log_expand,ln((x*y)^2),ln(x^2)+ln(y^2),expand_log,result_mismatch,
k*(2*ln(abs(x*y))) - k*(2*ln(abs(x))+2*ln(abs(y))),0,2 * k * ln(|x * y|) - 2 * k * ln(|x|) - 2 * k * ln(|y|),false,scaled_difference_zero,expand_log_grouped_abs_product,log_expand,2*ln(abs(x*y)),2*ln(abs(x))+2*ln(abs(y)),expand_log,result_mismatch,
((2*ln(abs(x*y))) + 1)/((2*ln(abs(x))+2*ln(abs(y))) + 1),1,(2 * ln(|x * y|) + 1) / (2 * ln(|x|) + 2 * ln(|y|) + 1),false,shifted_quotient_one,expand_log_grouped_abs_product,log_expand,2*ln(abs(x*y)),2*ln(abs(x))+2*ln(abs(y)),expand_log,result_mismatch,
"((log(b,(x*y)^2)) + m) - ((2*log(b,x)+2*log(b,y)) + m)",0,"2 * log(b, |x * y|) - 2 * log(b, x) - 2 * log(b, y)",false,additive_passthrough_zero,expand_log_grouped_general_base_power,log_expand,"log(b,(x*y)^2)","2*log(b,x)+2*log(b,y)",expand_log,result_mismatch,
"k*(log(b,(x*y)^2)) - k*(2*log(b,x)+2*log(b,y))",0,"2 * k * log(b, |x * y|) - 2 * k * log(b, x) - 2 * k * log(b, y)",false,scaled_difference_zero,expand_log_grouped_general_base_power,log_expand,"log(b,(x*y)^2)","2*log(b,x)+2*log(b,y)",expand_log,result_mismatch,
"((log(b,(x*y)^2))/q) - ((2*log(b,x)+2*log(b,y))/q)",0,"(2 * log(b, |x * y|) - 2 * log(b, x) - 2 * log(b, y)) / q",false,common_denominator_zero,expand_log_grouped_general_base_power,log_expand,"log(b,(x*y)^2)","2*log(b,x)+2*log(b,y)",expand_log,result_mismatch,
"((log(b,(x*y)^2)) + 1)/((2*log(b,x)+2*log(b,y)) + 1)",1,"(2 * log(b, |x * y|) + 1) / (2 * log(b, x) + 2 * log(b, y) + 1)",false,shifted_quotient_one,expand_log_grouped_general_base_power,log_expand,"log(b,(x*y)^2)","2*log(b,x)+2*log(b,y)",expand_log,result_mismatch,
k*(ln((x*y)^2)+a) - k*(ln(x^2)+ln(y^2)+a),0,2 * k * ln(|x * y|) - 2 * k * ln(|x|) - 2 * k * ln(|y|),false,scaled_difference_zero,expand_log_grouped_power_with_passthrough,log_expand,ln((x*y)^2)+a,ln(x^2)+ln(y^2)+a,expand_log,result_mismatch,
((ln((x*y)^2)+a) + 1)/((ln(x^2)+ln(y^2)+a) + 1),1,(2 * ln(|x * y|) + a + 1) / (2 * ln(|x|) + 2 * ln(|y|) + a + 1),false,shifted_quotient_one,expand_log_grouped_power_with_passthrough,log_expand,ln((x*y)^2)+a,ln(x^2)+ln(y^2)+a,expand_log,result_mismatch,
k*(2*ln(abs(x*y))+a) - k*(2*ln(abs(x))+2*ln(abs(y))+a),0,2 * k * ln(|x * y|) - 2 * k * ln(|x|) - 2 * k * ln(|y|),false,scaled_difference_zero,expand_log_grouped_abs_product_with_passthrough,log_expand,2*ln(abs(x*y))+a,2*ln(abs(x))+2*ln(abs(y))+a,expand_log,result_mismatch,
((2*ln(abs(x*y))+a) + 1)/((2*ln(abs(x))+2*ln(abs(y))+a) + 1),1,(2 * ln(|x * y|) + a + 1) / (2 * ln(|x|) + 2 * ln(|y|) + a + 1),false,shifted_quotient_one,expand_log_grouped_abs_product_with_passthrough,log_expand,2*ln(abs(x*y))+a,2*ln(abs(x))+2*ln(abs(y))+a,expand_log,result_mismatch,
"((log(b,(x*y)^2)+a) + m) - ((2*log(b,x)+2*log(b,y)+a) + m)",0,"2 * log(b, |x * y|) - 2 * log(b, x) - 2 * log(b, y)",false,additive_passthrough_zero,expand_log_grouped_general_base_power_with_passthrough,log_expand,"log(b,(x*y)^2)+a","2*log(b,x)+2*log(b,y)+a",expand_log,result_mismatch,
"k*(log(b,(x*y)^2)+a) - k*(2*log(b,x)+2*log(b,y)+a)",0,"2 * k * log(b, |x * y|) - 2 * k * log(b, x) - 2 * k * log(b, y)",false,scaled_difference_zero,expand_log_grouped_general_base_power_with_passthrough,log_expand,"log(b,(x*y)^2)+a","2*log(b,x)+2*log(b,y)+a",expand_log,result_mismatch,
"((log(b,(x*y)^2)+a)/q) - ((2*log(b,x)+2*log(b,y)+a)/q)",0,"(2 * log(b, |x * y|) - 2 * log(b, x) - 2 * log(b, y)) / q",false,common_denominator_zero,expand_log_grouped_general_base_power_with_passthrough,log_expand,"log(b,(x*y)^2)+a","2*log(b,x)+2*log(b,y)+a",expand_log,result_mismatch,
"((log(b,(x*y)^2)+a) + 1)/((2*log(b,x)+2*log(b,y)+a) + 1)",1,"(2 * log(b, |x * y|) + a + 1) / (2 * log(b, x) + 2 * log(b, y) + a + 1)",false,shifted_quotient_one,expand_log_grouped_general_base_power_with_passthrough,log_expand,"log(b,(x*y)^2)+a","2*log(b,x)+2*log(b,y)+a",expand_log,result_mismatch,
k*(2*ln(abs(x)) + ln(y) - ln(z) - ln(t)) - k*(ln((x^2*y)/(z*t))),0,2 * k * ln(|x|) + k * ln(y / (t * z)) - k * ln(y * x^2 / (t * z)),false,scaled_difference_zero,contract_log_powered_two_denominator_factors,log_contract,2*ln(abs(x)) + ln(y) - ln(z) - ln(t),ln((x^2*y)/(z*t)),contract logs,result_mismatch,
((2*ln(abs(x)) + ln(y) - ln(z) - ln(t)) + 1)/((ln((x^2*y)/(z*t))) + 1),1,(ln(y / (t * z)) + 2 * ln(|x|) + 1) / (ln(y * x^2 / (t * z)) + 1),false,shifted_quotient_one,contract_log_powered_two_denominator_factors,log_contract,2*ln(abs(x)) + ln(y) - ln(z) - ln(t),ln((x^2*y)/(z*t)),contract logs,result_mismatch,
"k*(2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t)) - k*(log(b, (x^2*y^3)/(z^2*t)))",0,"k * (2 * log(b, x) + 3 * log(b, y) - log(b, t) - 2 * log(b, z)) - k * log(b, x^2 * y^3 / (t * z^2))",false,scaled_difference_zero,contract_log_general_base_powered_two_denominator_factors_with_powered_denominator,log_contract,"2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t)","log(b, (x^2*y^3)/(z^2*t))",contract logs,result_mismatch,
"((2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t)) + 1)/((log(b, (x^2*y^3)/(z^2*t))) + 1)",1,"(2 * log(b, x) + 3 * log(b, y) + 1 - log(b, t) - 2 * log(b, z)) / (log(b, x^2 * y^3 / (t * z^2)) + 1)",false,shifted_quotient_one,contract_log_general_base_powered_two_denominator_factors_with_powered_denominator,log_contract,"2*log(b, x) + 3*log(b, y) - 2*log(b, z) - log(b, t)","log(b, (x^2*y^3)/(z^2*t))",contract logs,result_mismatch,
k*(ln(x^2)+ln(y^2)) - k*(ln((x*y)^2)),0,2 * k * ln(|x|) + 2 * k * ln(|y|) - 2 * k * ln(|x * y|),false,scaled_difference_zero,contract_log_grouped_power,log_contract,ln(x^2)+ln(y^2),ln((x*y)^2),contract logs,result_mismatch,
((ln(x^2)+ln(y^2)) + 1)/((ln((x*y)^2)) + 1),1,(2 * ln(|x|) + 2 * ln(|y|) + 1) / (2 * ln(|x * y|) + 1),false,shifted_quotient_one,contract_log_grouped_power,log_contract,ln(x^2)+ln(y^2),ln((x*y)^2),contract logs,result_mismatch,
k*(2*ln(abs(x))+2*ln(abs(y))) - k*(2*ln(abs(x*y))),0,2 * k * ln(|x|) + 2 * k * ln(|y|) - 2 * k * ln(|x * y|),false,scaled_difference_zero,contract_even_abs_logs_to_scaled_abs_product,log_contract,2*ln(abs(x))+2*ln(abs(y)),2*ln(abs(x*y)),contract logs,result_mismatch,
((2*ln(abs(x))+2*ln(abs(y))) + 1)/((2*ln(abs(x*y))) + 1),1,(2 * ln(|x|) + 2 * ln(|y|) + 1) / (2 * ln(|x * y|) + 1),false,shifted_quotient_one,contract_even_abs_logs_to_scaled_abs_product,log_contract,2*ln(abs(x))+2*ln(abs(y)),2*ln(abs(x*y)),contract logs,result_mismatch,
"((2*log(b,x)+2*log(b,y)) + m) - ((log(b,(x*y)^2)) + m)",0,"2 * log(b, x) + 2 * log(b, y) - 2 * log(b, |x * y|)",false,additive_passthrough_zero,contract_general_base_logs_to_grouped_power,log_contract,"2*log(b,x)+2*log(b,y)","log(b,(x*y)^2)",contract logs,result_mismatch,
"k*(2*log(b,x)+2*log(b,y)) - k*(log(b,(x*y)^2))",0,"2 * k * log(b, x) + 2 * k * log(b, y) - 2 * k * log(b, |x * y|)",false,scaled_difference_zero,contract_general_base_logs_to_grouped_power,log_contract,"2*log(b,x)+2*log(b,y)","log(b,(x*y)^2)",contract logs,result_mismatch,
"((2*log(b,x)+2*log(b,y))/q) - ((log(b,(x*y)^2))/q)",0,"(2 * log(b, x) + 2 * log(b, y) - 2 * log(b, |x * y|)) / q",false,common_denominator_zero,contract_general_base_logs_to_grouped_power,log_contract,"2*log(b,x)+2*log(b,y)","log(b,(x*y)^2)",contract logs,result_mismatch,
"((2*log(b,x)+2*log(b,y)) + 1)/((log(b,(x*y)^2)) + 1)",1,"(2 * log(b, x) + 2 * log(b, y) + 1) / (2 * log(b, |x * y|) + 1)",false,shifted_quotient_one,contract_general_base_logs_to_grouped_power,log_contract,"2*log(b,x)+2*log(b,y)","log(b,(x*y)^2)",contract logs,result_mismatch,
k*(ln(x^2)+ln(y^2)+a) - k*(ln((x*y)^2)+a),0,2 * k * ln(|x|) + 2 * k * ln(|y|) - 2 * k * ln(|x * y|),false,scaled_difference_zero,contract_log_grouped_power_with_passthrough,log_contract,ln(x^2)+ln(y^2)+a,ln((x*y)^2)+a,contract logs,result_mismatch,
((ln(x^2)+ln(y^2)+a) + 1)/((ln((x*y)^2)+a) + 1),1,(2 * ln(|x|) + 2 * ln(|y|) + a + 1) / (2 * ln(|x * y|) + a + 1),false,shifted_quotient_one,contract_log_grouped_power_with_passthrough,log_contract,ln(x^2)+ln(y^2)+a,ln((x*y)^2)+a,contract logs,result_mismatch,
k*(2*ln(abs(x))+2*ln(abs(y))+a) - k*(2*ln(abs(x*y))+a),0,2 * k * ln(|x|) + 2 * k * ln(|y|) - 2 * k * ln(|x * y|),false,scaled_difference_zero,contract_even_abs_logs_to_scaled_abs_product_with_passthrough,log_contract,2*ln(abs(x))+2*ln(abs(y))+a,2*ln(abs(x*y))+a,contract logs,result_mismatch,
((2*ln(abs(x))+2*ln(abs(y))+a) + 1)/((2*ln(abs(x*y))+a) + 1),1,(2 * ln(|x|) + 2 * ln(|y|) + a + 1) / (2 * ln(|x * y|) + a + 1),false,shifted_quotient_one,contract_even_abs_logs_to_scaled_abs_product_with_passthrough,log_contract,2*ln(abs(x))+2*ln(abs(y))+a,2*ln(abs(x*y))+a,contract logs,result_mismatch,
"((2*log(b,x)+2*log(b,y)+a) + m) - ((log(b,(x*y)^2)+a) + m)",0,"2 * log(b, x) + 2 * log(b, y) - 2 * log(b, |x * y|)",false,additive_passthrough_zero,contract_general_base_logs_to_grouped_power_with_passthrough,log_contract,"2*log(b,x)+2*log(b,y)+a","log(b,(x*y)^2)+a",contract logs,result_mismatch,
"k*(2*log(b,x)+2*log(b,y)+a) - k*(log(b,(x*y)^2)+a)",0,"2 * k * log(b, x) + 2 * k * log(b, y) - 2 * k * log(b, |x * y|)",false,scaled_difference_zero,contract_general_base_logs_to_grouped_power_with_passthrough,log_contract,"2*log(b,x)+2*log(b,y)+a","log(b,(x*y)^2)+a",contract logs,result_mismatch,
"((2*log(b,x)+2*log(b,y)+a)/q) - ((log(b,(x*y)^2)+a)/q)",0,"(2 * log(b, x) + 2 * log(b, y) - 2 * log(b, |x * y|)) / q",false,common_denominator_zero,contract_general_base_logs_to_grouped_power_with_passthrough,log_contract,"2*log(b,x)+2*log(b,y)+a","log(b,(x*y)^2)+a",contract logs,result_mismatch,
"((2*log(b,x)+2*log(b,y)+a) + 1)/((log(b,(x*y)^2)+a) + 1)",1,"(2 * log(b, x) + 2 * log(b, y) + a + 1) / (2 * log(b, |x * y|) + a + 1)",false,shifted_quotient_one,contract_general_base_logs_to_grouped_power_with_passthrough,log_contract,"2*log(b,x)+2*log(b,y)+a","log(b,(x*y)^2)+a",contract logs,result_mismatch,
((sin(x)+cos(x)) + m) - ((sqrt(2)*sin(x+pi/4)) + m),0,sin(x) + cos(x) - sin(x + 1/4 * pi) * 2^(1/2),false,additive_passthrough_zero,contract_trig_phase_shift_sum_to_shifted_sine,trig_contract,sin(x)+cos(x),sqrt(2)*sin(x+pi/4),contract trig,result_mismatch,
k*(sin(x)+cos(x)) - k*(sqrt(2)*sin(x+pi/4)),0,k * sin(x) + k * cos(x) - k * sin(x + 1/4 * pi) * 2^(1/2),false,scaled_difference_zero,contract_trig_phase_shift_sum_to_shifted_sine,trig_contract,sin(x)+cos(x),sqrt(2)*sin(x+pi/4),contract trig,result_mismatch,
((sin(x)+cos(x)) + 1)/((sqrt(2)*sin(x+pi/4)) + 1),1,(sin(x) + cos(x) + 1) / (sin(x + 1/4 * pi) * 2^(1/2) + 1),false,shifted_quotient_one,contract_trig_phase_shift_sum_to_shifted_sine,trig_contract,sin(x)+cos(x),sqrt(2)*sin(x+pi/4),contract trig,result_mismatch,
((sin(x)-cos(x)) + m) - ((sqrt(2)*sin(x-pi/4)) + m),0,sin(x) - cos(x) - sin(x - 1/4 * pi) * 2^(1/2),false,additive_passthrough_zero,contract_trig_phase_shift_difference_to_shifted_sine,trig_contract,sin(x)-cos(x),sqrt(2)*sin(x-pi/4),contract trig,result_mismatch,
k*(sin(x)-cos(x)) - k*(sqrt(2)*sin(x-pi/4)),0,k * sin(x) - k * cos(x) - k * sin(x - 1/4 * pi) * 2^(1/2),false,scaled_difference_zero,contract_trig_phase_shift_difference_to_shifted_sine,trig_contract,sin(x)-cos(x),sqrt(2)*sin(x-pi/4),contract trig,result_mismatch,
